Order,Order Chinese,Family,Family English,Family Chinese,Genus,Suggested Chinese genus name,China range keyword species count,Example China-tagged species
Passeriformes,雀形目,Aegithalidae,"Tit-warblers, Bushtits, and Long-tailed Tit",,Aegithalos,,1,银脸长尾山雀 (Aegithalos fuliginosus)
Passeriformes,雀形目,Aegithalidae,"Tit-warblers, Bushtits, and Long-tailed Tit",,Leptopoecile,,1,凤头雀莺 (Leptopoecile elegans)
Passeriformes,雀形目,Alaudidae,Larks,,Calandrella,,1,蒙古短趾百灵 (Calandrella dukhunensis)
Passeriformes,雀形目,Artamidae,"Woodswallows, Bellmagpies, and Allies",,Artamus,,1,灰燕鵙 (Artamus fuscus)
Passeriformes,雀形目,Bombycillidae,Waxwings,,Bombycilla,,1,小太平鸟 (Bombycilla japonica)
Passeriformes,雀形目,Cettiidae,Bush Warblers and Allies,,Horornis,,1,喜山黄腹树莺 (Horornis brunnescens)
Passeriformes,雀形目,Cettiidae,Bush Warblers and Allies,,Tesia,,1,灰腹地莺 (Tesia cyaniventer)
Passeriformes,雀形目,Cettiidae,Bush Warblers and Allies,,Urosphena,,1,鳞头树莺 (Urosphena squameiceps)
Passeriformes,雀形目,Corvidae,"Crows, Jays, and Magpies",,Coloeus,,1,达乌里寒鸦 (Coloeus dauuricus)
Passeriformes,雀形目,Corvidae,"Crows, Jays, and Magpies",,Corvus,,1,白颈鸦 (Corvus torquatus)
Passeriformes,雀形目,Corvidae,"Crows, Jays, and Magpies",,Crypsirina,,1,盘尾树鹊 (Crypsirina temia)
Passeriformes,雀形目,Corvidae,"Crows, Jays, and Magpies",,Nucifraga,,1,大斑星鸦 (Nucifraga multipunctata)
Passeriformes,雀形目,Corvidae,"Crows, Jays, and Magpies",,Perisoreus,,1,黑头噪鸦 (Perisoreus internigrans)
Passeriformes,雀形目,Corvidae,"Crows, Jays, and Magpies",,Pica,,1,青藏喜鹊 (Pica bottanensis)
Passeriformes,雀形目,Corvidae,"Crows, Jays, and Magpies",,Temnurus,,1,塔尾树鹊 (Temnurus temnurus)
Passeriformes,雀形目,Corvidae,"Crows, Jays, and Magpies",,Urocissa,,1,台湾蓝鹊 (Urocissa caerulea)
Passeriformes,雀形目,Dicaeidae,Flowerpeckers,,Pachyglossa,,1,黄腹啄花鸟 (Pachyglossa melanozantha)
Passeriformes,雀形目,Dicruridae,Drongos,,Dicrurus,,1,鸦嘴卷尾 (Dicrurus annectens)
Passeriformes,雀形目,Elachuridae,Elachura,,Elachura,,1,丽星鹩鹛 (Elachura formosa)
Passeriformes,雀形目,Estrildidae,"Munias, Parrotfinches, Waxbills, and Allies",,Lonchura,,1,白头文鸟 (Lonchura maja)
Passeriformes,雀形目,Estrildidae,"Munias, Parrotfinches, Waxbills, and Allies",,Padda,,1,禾雀 (Padda oryzivora)
Passeriformes,雀形目,Eurylaimidae,Grauer's Broadbill and Asian Broadbills,,Serilophus,,1,灰眼先丝冠鸟 (Serilophus rubropygius)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,Agraphospiza,,1,赤朱雀 (Agraphospiza rubescens)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,Pyrrhoplectes,,1,金枕黑雀 (Pyrrhoplectes epauletta)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,Rhodospiza,,1,巨嘴沙雀 (Rhodospiza obsoleta)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,Serinus,,1,金额丝雀 (Serinus pusillus)
Passeriformes,雀形目,Hirundinidae,Swallows,燕科,Delichon,,1,白腹毛脚燕 (Delichon lagopodum)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Alcippe,,1,台湾雀鹛 (Alcippe morrisonia)
Passeriformes,雀形目,Locustellidae,"Grasshopper Warblers, Grassbirds, and Allies",,Helopsaltes,,1,东亚蝗莺 (Helopsaltes pleskei)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Terpsiphone,,1,寿带 (Terpsiphone incei)
Passeriformes,雀形目,Motacillidae,Wagtails and Pipits,,Dendronanthus,,1,山鹡鸰 (Dendronanthus indicus)
Passeriformes,雀形目,Motacillidae,Wagtails and Pipits,,Motacilla,,1,日本鹡鸰 (Motacilla grandis)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Cyanoptila,,1,琉璃蓝鹟 (Cyanoptila cumatilis)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Myophonus,,1,台湾紫啸鸫 (Myophonus insularis)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Saxicola,,1,黑白林䳭 (Saxicola jerdoni)
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,Moupinia,,1,宝兴鹛雀 (Moupinia poecilotis)
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,Myzornis,,1,火尾绿鹛 (Myzornis pyrrhoura)
Passeriformes,雀形目,Paridae,"Tits, Chickadees, and Titmice",,Machlolophus,,1,台湾黄山雀 (Machlolophus holsti)
Passeriformes,雀形目,Paridae,"Tits, Chickadees, and Titmice",,Pseudopodoces,,1,地山雀 (Pseudopodoces humilis)
Passeriformes,雀形目,Paridae,"Tits, Chickadees, and Titmice",,Sittiparus,,1,台湾杂色山雀 (Sittiparus castaneoventris)
Passeriformes,雀形目,Passeridae,Snowfinches and Old World Sparrows,,Montifringilla,,1,藏雪雀 (Montifringilla henrici)
Passeriformes,雀形目,Passeridae,Snowfinches and Old World Sparrows,,Onychostruthus,,1,白腰雪雀 (Onychostruthus taczanowskii)
Passeriformes,雀形目,Pellorneidae,Ground Babblers and Allies,,Gampsorhynchus,,1,白头鵙鹛 (Gampsorhynchus rufulus)
Passeriformes,雀形目,Pellorneidae,Ground Babblers and Allies,,Gypsophila,,1,灰岩鹪鹛 (Gypsophila annamensis)
Passeriformes,雀形目,Pittidae,Pittas,,Hydrornis,,1,双辫八色鸫 (Hydrornis phayrei)
Passeriformes,雀形目,Pnoepygidae,Cupwings,,Pnoepyga,,1,台湾鹪鹛 (Pnoepyga formosana)
Passeriformes,雀形目,Regulidae,Kinglets,,Regulus,,1,台湾戴菊 (Regulus goodfellowi)
Passeriformes,雀形目,Remizidae,Penduline Tits,,Remiz,,1,中华攀雀 (Remiz consobrinus)
Passeriformes,雀形目,Stenostiridae,Fairy Flycatchers,,Chelidorhynx,,1,黄腹扇尾鹟 (Chelidorhynx hypoxanthus)
Passeriformes,雀形目,Sturnidae,"Rhabdornis, Starlings, and Mynas",,Ampeliceps,,1,金冠树八哥 (Ampeliceps coronatus)
Passeriformes,雀形目,Sturnidae,"Rhabdornis, Starlings, and Mynas",,Gracupica,,1,黑领椋鸟 (Gracupica nigricollis)
Passeriformes,雀形目,Sturnidae,"Rhabdornis, Starlings, and Mynas",,Sturnia,,1,灰背椋鸟 (Sturnia sinensis)
Passeriformes,雀形目,Sylviidae,Sylviid Warblers and Allies,,Curruca,,1,亚洲漠地林莺 (Curruca nana)
Passeriformes,雀形目,Timaliidae,"Tree Babblers, Scimitar Babblers, and Allies",,Mixornis,,1,灰脸纹胸鹛 (Mixornis kelleyi)
Passeriformes,雀形目,Timaliidae,"Tree Babblers, Scimitar Babblers, and Allies",,Pomatorhinus,,1,台湾棕颈钩嘴鹛 (Pomatorhinus musicus)
Passeriformes,雀形目,Timaliidae,"Tree Babblers, Scimitar Babblers, and Allies",,Spelaeornis,,1,灰腹鹩鹛 (Spelaeornis reptatus)
Passeriformes,雀形目,Timaliidae,"Tree Babblers, Scimitar Babblers, and Allies",,Stachyris,,1,弄岗穗鹛 (Stachyris nonggangensis)
Passeriformes,雀形目,Turdidae,Thrushes and Allies,,Grandala,,1,蓝大翅鸲 (Grandala coelicolor)
Passeriformes,雀形目,Urocynchramidae,Przevalski's Finch,,Urocynchramus,,1,朱鹀 (Urocynchramus pylzowi)
Passeriformes,雀形目,Vireonidae,"Shrike-babblers, Erpornis, and Vireos",,Pteruthius,,1,棕腹鵙鹛 (Pteruthius rufiventer)
Passeriformes,雀形目,Zosteropidae,"White-eyes, Yuhinas, and Allies",,Staphida,,1,栗颈凤鹛 (Staphida torqueola)
Passeriformes,雀形目,Zosteropidae,"White-eyes, Yuhinas, and Allies",,Zosterops,,1,红胁绣眼鸟 (Zosterops erythropleurus)
Pelecaniformes,鹈形目,Ardeidae,"Herons, Egrets, and Bitterns",,Oroanassa,,1,海南鳽 (Oroanassa magnifica)
Pelecaniformes,鹈形目,Threskiornithidae,Ibises and Spoonbills,,Nipponia,,1,朱鹮 (Nipponia nippon)
Pelecaniformes,鹈形目,Threskiornithidae,Ibises and Spoonbills,,Platalea,,1,黑脸琵鹭 (Platalea minor)
Pelecaniformes,鹈形目,Threskiornithidae,Ibises and Spoonbills,,Pseudibis,,1,白肩黑鹮 (Pseudibis davisoni)
Pelecaniformes,鹈形目,Threskiornithidae,Ibises and Spoonbills,,Threskiornis,,1,黑头白鹮 (Threskiornis melanocephalus)
Piciformes,䴕形目,Megalaimidae,Asian Barbets,,Psilopogon,,1,台湾拟啄木鸟 (Psilopogon nuchalis)
Piciformes,䴕形目,Picidae,Woodpeckers,,Dendrocopos,,1,白翅啄木鸟 (Dendrocopos leucopterus)
Piciformes,䴕形目,Picidae,Woodpeckers,,Hemicircus,,1,黑冠啄木鸟 (Hemicircus canente)
Piciformes,䴕形目,Picidae,Woodpeckers,,Meiglyptes,,1,黑棕斑啄木鸟 (Meiglyptes jugularis)
Procellariiformes,鹱形目,Hydrobatidae,Northern Storm Petrels,,Hydrobates,,1,黑叉尾海燕 (Hydrobates monorhis)
Procellariiformes,鹱形目,Procellariidae,"Petrels, Shearwaters, and Diving Petrels",,Bulweria,,1,褐燕鹱 (Bulweria bulwerii)
Procellariiformes,鹱形目,Procellariidae,"Petrels, Shearwaters, and Diving Petrels",,Calonectris,,1,白额鹱 (Calonectris leucomelas)
Strigiformes,鸮形目,Strigidae,Owls,,Ketupa,,1,黄腿渔鸮 (Ketupa flavipes)
Suliformes,鲣鸟目,Fregatidae,Frigatebirds,,Fregata,,1,白腹军舰鸟 (Fregata andrewsi)
Suliformes,鲣鸟目,Phalacrocoracidae,Cormorants and Shags,,Microcarbo,,1,黑颈鸬鹚 (Microcarbo niger)
Suliformes,鲣鸟目,Phalacrocoracidae,Cormorants and Shags,,Phalacrocorax,,1,暗绿背鸬鹚 (Phalacrocorax capillatus)
Trogoniformes,咬鹃目,Trogonidae,Trogons,,Harpactes,,1,红腹咬鹃 (Harpactes wardi)
