Order,Order Chinese,Family,Family English,Family Chinese,Genus,Suggested Chinese genus name,China range keyword species count,Example China-tagged species
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,Paradoxornis,,4,点胸鸦雀 (Paradoxornis guttaticollis); 红嘴鸦雀 (Paradoxornis aemodius); 褐鸦雀 (Paradoxornis unicolor); 白胸鸦雀 (Paradoxornis ruficeps)
Passeriformes,雀形目,Paridae,"Tits, Chickadees, and Titmice",,Poecile,,4,白眉山雀 (Poecile superciliosus); 红腹山雀 (Poecile davidi); 黑喉山雀 (Poecile hypermelaenus); 川褐头山雀 (Poecile weigoldicus)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Aythya,,3,白眼潜鸭 (Aythya nyroca); 青头潜鸭 (Aythya baeri); 红头潜鸭 (Aythya ferina)
Charadriiformes,鸻形目,Charadriidae,Plovers and Lapwings,,Anarhynchus,,3,红胸鸻 (Anarhynchus asiaticus); 东方鸻 (Anarhynchus veredus); 白脸鸻 (Anarhynchus dealbatus)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Gallinago,,3,林沙锥 (Gallinago nemoricola); 大沙锥 (Gallinago megala); 针尾沙锥 (Gallinago stenura)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Hierococcyx,,3,大鹰鹃 (Hierococcyx sparverioides); 北棕腹鹰鹃 (Hierococcyx hyperythrus); 棕腹鹰鹃 (Hierococcyx nisicolor)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Crossoptilon,,3,藏马鸡 (Crossoptilon harmani); 褐马鸡 (Crossoptilon mantchuricum); 蓝马鸡 (Crossoptilon auritum)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Syrmaticus,,3,白冠长尾雉 (Syrmaticus reevesii); 黑长尾雉 (Syrmaticus mikado); 白颈长尾雉 (Syrmaticus ellioti)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Tragopan,,3,黑头角雉 (Tragopan melanocephalus); 红胸角雉 (Tragopan satyra); 红腹角雉 (Tragopan temminckii)
Gruiformes,鹤形目,Gruidae,Cranes,,Grus,,3,丹顶鹤 (Grus japonensis); 白头鹤 (Grus monacha); 黑颈鹤 (Grus nigricollis)
Passeriformes,雀形目,Certhiidae,Treecreepers,,Certhia,,3,锈红腹旋木雀 (Certhia nipalensis); 四川旋木雀 (Certhia tianquanensis); 褐喉旋木雀 (Certhia discolor)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,Pyrrhula,,3,红头灰雀 (Pyrrhula erythrocephala); 灰头灰雀 (Pyrrhula erythaca); 台湾灰头灰雀 (Pyrrhula owstoni)
Passeriformes,雀形目,Laniidae,Shrikes,,Lanius,,3,楔尾伯劳 (Lanius sphenocercus); 青藏楔尾伯劳 (Lanius giganteus); 棕尾伯劳 (Lanius phoenicuroides)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Garrulax,,3,台湾画眉 (Garrulax taewanus); 白颈噪鹛 (Garrulax strepitans); 褐胸噪鹛 (Garrulax maesi)
