status,matchMethod,CBR row,CBR scientific name,CBR Chinese name,CBR English name,AviList scientific name used,AviList English name,candidate scientific names,CBR notes
matched_exact,scientificName,1392,Larvivora cyane,蓝歌鸲,Siberian Blue Robin,Larvivora cyane,Siberian Blue Robin,,
matched_exact,scientificName,1393,Larvivora brunnea,栗腹歌鸲,Indian Blue Robin,Larvivora brunnea,Indian Blue Robin,,
matched_exact,scientificName,1394,Larvivora akahige,日本歌鸲,Japanese Robin,Larvivora akahige,Japanese Robin,,
matched_exact,scientificName,1395,Larvivora komadori,琉球歌鸲,Ryukyu Robin,Larvivora komadori,Ryukyu Robin,,
matched_exact,scientificName,1396,Larvivora sibilans,红尾歌鸲,Rufous-tailed Robin,Larvivora sibilans,Rufous-tailed Robin,,
matched_exact,scientificName,1397,Larvivora ruficeps,棕头歌鸲,Rufous-headed Robin,Larvivora ruficeps,Rufous-headed Robin,,
matched_exact,scientificName,1398,Ficedula zanthopygia,白眉姬鹟,Yellow-rumped Flycatcher,Ficedula zanthopygia,Yellow-rumped Flycatcher,,
matched_exact,scientificName,1399,Ficedula elisae,绿背姬鹟,Green-backed Flycatcher,Ficedula elisae,Green-backed Flycatcher,,
matched_exact,scientificName,1400,Ficedula narcissina,黄眉姬鹟,Narcissus Flycatcher,Ficedula narcissina,Narcissus Flycatcher,,
matched_exact,scientificName,1401,Ficedula owstoni,琉球姬鹟,Ryukyu Flycatcher,Ficedula owstoni,Ryukyu Flycatcher,,
matched_exact,scientificName,1402,Ficedula tricolor,灰蓝姬鹟,Slaty-blue Flycatcher,Ficedula tricolor,Slaty-blue Flycatcher,,
matched_exact,scientificName,1403,Ficedula hyperythra,棕胸蓝姬鹟,Snowy-browed Flycatcher,Ficedula hyperythra,Snowy-browed Flycatcher,,
matched_exact,scientificName,1404,Ficedula mugimaki,鸲姬鹟,Mugimaki Flycatcher,Ficedula mugimaki,Mugimaki Flycatcher,,
matched_exact,scientificName,1405,Ficedula erithacus,锈胸蓝姬鹟,Slaty-backed Flycatcher,Ficedula erithacus,Slaty-backed Flycatcher,,
matched_exact,scientificName,1406,Ficedula hodgsoni,侏蓝姬鹟,Pygmy Flycatcher,Ficedula hodgsoni,Pygmy Flycatcher,,中文名由侏蓝仙鹟改为侏蓝姬鹟
matched_exact,scientificName,1407,Ficedula strophiata,橙胸姬鹟,Rufous-gorgeted Flycatcher,Ficedula strophiata,Rufous-gorgeted Flycatcher,,
matched_exact,scientificName,1408,Ficedula sapphira,玉头姬鹟,Sapphire Flycatcher,Ficedula sapphira,Sapphire Flycatcher,,
matched_exact,scientificName,1409,Ficedula superciliaris,白眉蓝姬鹟,Ultramarine Flycatcher,Ficedula superciliaris,Ultramarine Flycatcher,,
matched_exact,scientificName,1410,Ficedula westermanni,小斑姬鹟,Little Pied Flycatcher,Ficedula westermanni,Little Pied Flycatcher,,
matched_exact,scientificName,1411,Ficedula ruficauda,栗尾姬鹟,Rusty-tailed Flycatcher,Ficedula ruficauda,Rusty-tailed Flycatcher,,
matched_exact,scientificName,1412,Ficedula parva,红胸姬鹟,Red-breasted Flycatcher,Ficedula parva,Red-breasted Flycatcher,,
matched_exact,scientificName,1413,Ficedula albicilla,红喉姬鹟,Taiga Flycatcher,Ficedula albicilla,Taiga Flycatcher,,
matched_exact,scientificName,1414,Ficedula hypoleuca,斑姬鹟,European Pied Flycatcher,Ficedula hypoleuca,European Pied Flycatcher,,
matched_exact,scientificName,1415,Tarsiger indicus,白眉林鸲,White-browed Bush Robin,Tarsiger indicus,White-browed Bush Robin,,
