Order,Order Chinese,Family,Family English,Family Chinese,Genus,Suggested Chinese genus name,Species count in AviList sample,China range keyword species count,Example species
Passeriformes,雀形目,Corvidae,"Crows, Jays, and Magpies",,Podoces,,4,2,黑尾地鸦 (Podoces hendersoni); 白尾地鸦 (Podoces biddulphi); 里海地鸦 (Podoces panderi)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,Mycerobas,,4,2,黄腹拟蜡嘴雀 (Mycerobas icterioides); 黄颈拟蜡嘴雀 (Mycerobas affinis); 白点翅拟蜡嘴雀 (Mycerobas melanozanthos)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,Spinus,,20,2,藏黄雀 (Spinus thibetanus); 黄雀 (Spinus spinus); 松金翅雀 (Spinus pinus)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Actinodura,,9,2,纹头斑翅鹛 (Actinodura nipalensis); 台湾斑翅鹛 (Actinodura morrisoniana); 纹胸斑翅鹛 (Actinodura waldeni)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Heterophasia,,7,2,长尾奇鹛 (Heterophasia picaoides); 白耳奇鹛 (Heterophasia auricularis); 黑顶奇鹛 (Heterophasia capistrata)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Liocichla,,5,2,黑冠薮鹛 (Liocichla bugunorum); 灰胸薮鹛 (Liocichla omeiensis); 黄痣薮鹛 (Liocichla steerii)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Cyornis,,32,2,鲁氏仙鹟 (Cyornis ruckii); 蓝胸仙鹟 (Cyornis herioti); 棕胸仙鹟 (Cyornis camarinensis)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Monticola,,14,2,蓝头矶鸫 (Monticola cinclorhyncha); 栗腹矶鸫 (Monticola rufiventris); 白喉矶鸫 (Monticola gularis)
Passeriformes,雀形目,Oriolidae,Old World Orioles,,Oriolus,,32,2,暗褐鹂 (Oriolus phaeochromus); 黑耳鹂 (Oriolus bouroensis); 灰领鹂 (Oriolus forsteni)
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,Rhopophilus,,2,2,山鹛 (Rhopophilus pekinensis); 西域山鹛 (Rhopophilus albosuperciliaris)
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,Suthora,,12,2,灰冠鸦雀 (Suthora przewalskii); 短尾鸦雀 (Suthora davidiana); 黄额鸦雀 (Suthora fulvifrons)
Passeriformes,雀形目,Paridae,"Tits, Chickadees, and Titmice",,Periparus,,6,2,黄腹山雀 (Periparus venustulus); 巴拉望山雀 (Periparus amabilis); 丽色山雀 (Periparus elegans)
Passeriformes,雀形目,Pellorneidae,Ground Babblers and Allies,,Schoeniparus,,7,2,黄喉雀鹛 (Schoeniparus cinereus); 栗头雀鹛 (Schoeniparus castaneceps); 黑顶雀鹛 (Schoeniparus klossi)
Passeriformes,雀形目,Pittidae,Pittas,,Pitta,,20,2,非洲八色鸫 (Pitta angolensis); 非洲绿胸八色鸫 (Pitta reichenowi); 印度八色鸫 (Pitta brachyura)
Passeriformes,雀形目,Pycnonotidae,Bulbuls,,Pycnonotus,,31,2,绿冠鹎 (Pycnonotus tympanistrigus); 红眼褐鹎 (Pycnonotus brunneus); 橄榄褐鹎 (Pycnonotus plumosus)
Passeriformes,雀形目,Sturnidae,"Rhabdornis, Starlings, and Mynas",,Spodiopsar,,2,2,丝光椋鸟 (Spodiopsar sericeus); 灰椋鸟 (Spodiopsar cineraceus)
Passeriformes,雀形目,Timaliidae,"Tree Babblers, Scimitar Babblers, and Allies",,Erythrogenys,,7,2,长嘴钩嘴鹛 (Erythrogenys hypoleucos); 锈脸钩嘴鹛 (Erythrogenys erythrogenys); 红眼钩嘴鹛 (Erythrogenys imberbis)
Passeriformes,雀形目,Turdidae,Thrushes and Allies,,Cochoa,,4,2,紫宽嘴鸫 (Cochoa purpurea); 绿宽嘴鸫 (Cochoa viridis); 苏门答腊宽嘴鸫 (Cochoa beccarii)
Pelecaniformes,鹈形目,Ardeidae,"Herons, Egrets, and Bitterns",,Gorsachius,,2,2,黑冠鳽 (Gorsachius melanolophus); 栗鳽 (Gorsachius goisagi)
Piciformes,䴕形目,Picidae,Woodpeckers,,Picus,,13,2,红翅绿啄木鸟 (Picus puniceus); 黄冠啄木鸟 (Picus chlorolophus); 鳞腹绿啄木鸟 (Picus squamatus)
Psittaciformes,鹦形目,Psittaculidae,Old World Parrots,,Psittacula,,16,2,亚历山大鹦鹉 (Psittacula eupatria); 塞席尔绿鹦鹉 (Psittacula wardi); 红领绿鹦鹉 (Psittacula krameri)
Pterocliformes,沙鸡目,Pteroclidae,Sandgrouse,,Syrrhaptes,,2,2,毛腿沙鸡 (Syrrhaptes paradoxus); 西藏毛腿沙鸡 (Syrrhaptes tibetanus)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Aquila,,11,1,草原雕 (Aquila nipalensis); 茶色雕 (Aquila rapax); 白肩雕 (Aquila heliaca)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Butastur,,4,1,棕翅鵟鹰 (Butastur liventer); 蝗鵟鹰 (Butastur rufipennis); 灰脸鵟鹰 (Butastur indicus)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Buteo,,27,1,灰鵟 (Buteo plagiatus); 灰纹鵟 (Buteo nitidus); 巨翅鵟 (Buteo platypterus)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Clanga,,3,1,印度乌雕 (Clanga hastata); 乌雕 (Clanga clanga); 小乌雕 (Clanga pomarina)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Tachyspiza,,27,1,红腿雀鹰 (Tachyspiza erythropus); 非洲小雀鹰 (Tachyspiza minulla); 松雀鹰 (Tachyspiza virgata)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Aix,,2,1,鸳鸯 (Aix galericulata); 林鸳鸯 (Aix sponsa)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Anas,,31,1,非洲黑鸭 (Anas sparsa); 麻斑鸭 (Anas melleri); 非洲黄嘴鸭 (Anas undulata)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Mareca,,6,1,罗纹鸭 (Mareca falcata); 赤膀鸭 (Mareca strepera); 阿岛鸭 (Mareca marecula)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Marmaronetta,,1,1,云石斑鸭 (Marmaronetta angustirostris)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Mergellus,,1,1,斑头秋沙鸭 (Mergellus albellus)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Netta,,3,1,赤嘴潜鸭 (Netta rufina); 灰嘴潜鸭 (Netta erythrophthalma); 粉嘴潜鸭 (Netta peposaca)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Sarkidiornis,,2,1,瘤鸭 (Sarkidiornis melanotos); 美洲瘤鸭 (Sarkidiornis sylvicola)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Sibirionetta,,1,1,花脸鸭 (Sibirionetta formosa)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Tadorna,,6,1,翘鼻麻鸭 (Tadorna tadorna); 冠麻鸭 (Tadorna cristata); 灰头麻鸭 (Tadorna cana)
Apodiformes,雨燕目,Apodidae,Swifts,雨燕科,Hirundapus,,4,1,白喉针尾雨燕 (Hirundapus caudacutus); 灰喉针尾雨燕 (Hirundapus cochinchinensis); 褐背针尾雨燕 (Hirundapus giganteus)
Apodiformes,雨燕目,Hemiprocnidae,Treeswifts,,Hemiprocne,,4,1,凤头雨燕 (Hemiprocne coronata); 灰腰凤头雨燕 (Hemiprocne longipennis); 小须凤头雨燕 (Hemiprocne comata)
Bucerotiformes,犀鸟目,Bucerotidae,Hornbills,,Aceros,,1,1,棕颈犀鸟 (Aceros nipalensis)
Bucerotiformes,犀鸟目,Bucerotidae,Hornbills,,Anorrhinus,,3,1,凤头犀鸟 (Anorrhinus galeritus); 白喉犀鸟 (Anorrhinus austeni); 锈颊犀鸟 (Anorrhinus tickelli)
Bucerotiformes,犀鸟目,Bucerotidae,Hornbills,,Buceros,,3,1,棕犀鸟 (Buceros hydrocorax); 马来犀鸟 (Buceros rhinoceros); 双角犀鸟 (Buceros bicornis)
Bucerotiformes,犀鸟目,Bucerotidae,Hornbills,,Rhyticeros,,6,1,苏拉威西皱盔犀鸟 (Rhyticeros cassidix); 松巴皱盔犀鸟 (Rhyticeros everetti); 花冠皱盔犀鸟 (Rhyticeros undulatus)
Charadriiformes,鸻形目,Charadriidae,Plovers and Lapwings,,Pluvialis,,4,1,灰斑鸻 (Pluvialis squatarola); 欧金鸻 (Pluvialis apricaria); 美洲金鸻 (Pluvialis dominica)
Charadriiformes,鸻形目,Charadriidae,Plovers and Lapwings,,Thinornis,,7,1,黑头鸻 (Thinornis cucullatus); 滨鸻 (Thinornis novaeseelandiae); 黑额鸻 (Thinornis melanops)
Charadriiformes,鸻形目,Glareolidae,Coursers and Pratincoles,,Glareola,,8,1,马岛燕鸻 (Glareola ocularis); 乌燕鸻 (Glareola nuchalis); 澳洲燕鸻 (Glareola isabella)
Charadriiformes,鸻形目,Ibidorhynchidae,Ibisbill,,Ibidorhyncha,,1,1,鹮嘴鹬 (Ibidorhyncha struthersii)
Charadriiformes,鸻形目,Jacanidae,Jacanas,,Hydrophasianus,,1,1,水雉 (Hydrophasianus chirurgus)
Charadriiformes,鸻形目,Jacanidae,Jacanas,,Metopidius,,1,1,铜翅水雉 (Metopidius indicus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Chlidonias,,4,1,须浮鸥 (Chlidonias hybrida); 黑额燕鸥 (Chlidonias albostriatus); 白翅浮鸥 (Chlidonias leucopterus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Hydrocoloeus,,1,1,小鸥 (Hydrocoloeus minutus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Hydroprogne,,1,1,红嘴巨燕鸥 (Hydroprogne caspia)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Onychoprion,,4,1,白腰燕鸥 (Onychoprion aleuticus); 乌燕鸥 (Onychoprion fuscatus); 灰背燕鸥 (Onychoprion lunatus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Saundersilarus,,1,1,黑嘴鸥 (Saundersilarus saundersi)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Thalasseus,,7,1,白嘴端凤头燕鸥 (Thalasseus sandvicensis); 美洲凤头燕鸥 (Thalasseus elegans); 中华凤头燕鸥 (Thalasseus bernsteini)
Charadriiformes,鸻形目,Recurvirostridae,Stilts and Avocets,,Himantopus,,4,1,黑颈长脚鹬 (Himantopus mexicanus); 黑翅长脚鹬 (Himantopus himantopus); 澳洲长脚鹬 (Himantopus leucocephalus)
Charadriiformes,鸻形目,Recurvirostridae,Stilts and Avocets,,Recurvirostra,,4,1,反嘴鹬 (Recurvirostra avosetta); 红颈反嘴鹬 (Recurvirostra novaehollandiae); 褐胸反嘴鹬 (Recurvirostra americana)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Actitis,,2,1,矶鹬 (Actitis hypoleucos); 斑腹矶鹬 (Actitis macularius)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Limnodromus,,3,1,半蹼鹬 (Limnodromus semipalmatus); 长嘴半蹼鹬 (Limnodromus scolopaceus); 短嘴半蹼鹬 (Limnodromus griseus)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Numenius,,9,1,极北杓鹬 (Numenius borealis); 小杓鹬 (Numenius minutus); 太平洋杓鹬 (Numenius tahitiensis)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Scolopax,,8,1,小丘鹬 (Scolopax minor); 丘鹬 (Scolopax rusticola); 琉球丘鹬 (Scolopax mira)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Xenus,,1,1,翘嘴鹬 (Xenus cinereus)
Ciconiiformes,鹳形目,Ciconiidae,Storks,,Ciconia,,8,1,黑鹳 (Ciconia nigra); 黑尾鹳 (Ciconia maguari); 东方白鹳 (Ciconia boyciana)
