Order,Order Chinese,Family,Family English,Family Chinese,Genus,Suggested Chinese genus name,Species count in AviList sample,China range keyword species count,Example species
Passeriformes,雀形目,Mimidae,Mockingbirds and Thrashers,,Allenia,,1,0,鳞胸嘲鸫 (Allenia fusca)
Passeriformes,雀形目,Mimidae,Mockingbirds and Thrashers,,Cinclocerthia,,2,0,灰旋木嘲鸫 (Cinclocerthia gutturalis); 红尾旋木嘲鸫 (Cinclocerthia ruficauda)
Passeriformes,雀形目,Mimidae,Mockingbirds and Thrashers,,Dumetella,,1,0,灰嘲鸫 (Dumetella carolinensis)
Passeriformes,雀形目,Mimidae,Mockingbirds and Thrashers,,Margarops,,1,0,珠眼嘲鸫 (Margarops fuscatus)
Passeriformes,雀形目,Mimidae,Mockingbirds and Thrashers,,Melanoptila,,1,0,黑嘲鸫 (Melanoptila glabrirostris)
Passeriformes,雀形目,Mimidae,Mockingbirds and Thrashers,,Melanotis,,2,0,蓝白嘲鸫 (Melanotis hypoleucus); 蓝嘲鸫 (Melanotis caerulescens)
Passeriformes,雀形目,Mimidae,Mockingbirds and Thrashers,,Mimus,,14,0,智利小嘲鸫 (Mimus thenca); 南美小嘲鸫 (Mimus patagonicus); 淡褐小嘲鸫 (Mimus saturninus)
Passeriformes,雀形目,Mimidae,Mockingbirds and Thrashers,,Oreoscoptes,,1,0,高山弯嘴嘲鸫 (Oreoscoptes montanus)
Passeriformes,雀形目,Mimidae,Mockingbirds and Thrashers,,Ramphocinclus,,2,0,白胸嘲鸫 (Ramphocinclus brachyurus); 圣卢西亚嘲鸫 (Ramphocinclus sanctaeluciae)
Passeriformes,雀形目,Mimidae,Mockingbirds and Thrashers,,Toxostoma,,10,0,弯嘴嘲鸫 (Toxostoma curvirostre); 墨西哥弯嘴嘲鸫 (Toxostoma ocellatum); 褐弯嘴嘲鸫 (Toxostoma rufum)
Passeriformes,雀形目,Mitrospingidae,Mitrospingid Tanagers,,Lamprospiza,,1,0,红嘴唐纳雀 (Lamprospiza melanoleuca)
Passeriformes,雀形目,Mitrospingidae,Mitrospingid Tanagers,,Mitrospingus,,2,0,乌脸唐纳雀 (Mitrospingus cassinii); 绿背唐纳雀 (Mitrospingus oleagineus)
Passeriformes,雀形目,Mitrospingidae,Mitrospingid Tanagers,,Orthogonys,,1,0,巴西绿唐纳雀 (Orthogonys chloricterus)
Passeriformes,雀形目,Modulatricidae,Dapple-throat and Allies,,Arcanator,,1,0,纹喉䳭 (Arcanator orostruthus)
Passeriformes,雀形目,Modulatricidae,Dapple-throat and Allies,,Kakamega,,1,0,灰胸雅鹛 (Kakamega poliothorax)
Passeriformes,雀形目,Modulatricidae,Dapple-throat and Allies,,Modulatrix,,1,0,斑喉䳭 (Modulatrix stictigula)
Passeriformes,雀形目,Mohoidae,Hawaiian Honeyeaters,,Chaetoptila,,1,0,鬓吸蜜鸟 (Chaetoptila angustipluma)
Passeriformes,雀形目,Mohoidae,Hawaiian Honeyeaters,,Moho,,4,0,考岛吸蜜鸟 (Moho braccatus); 欧胡吸蜜鸟 (Moho apicalis); 毕氏吸蜜鸟 (Moho bishopi)
Passeriformes,雀形目,Mohouidae,Whiteheads,,Mohoua,,3,0,白头刺莺 (Mohoua albicilla); 黄头刺莺 (Mohoua ochrocephala); 新西兰刺莺 (Mohoua novaeseelandiae)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Arses,,4,0,饰颈皱鹟 (Arses telescopthalmus); 领皱鹟 (Arses lorealis); 栗领皱鹟 (Arses insularis)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Carterornis,,4,0,白枕王鹟 (Carterornis pileatus); 洛伊王鹟 (Carterornis castus); 白耳王鹟 (Carterornis leucotis)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Chasiempis,,3,0,蚋鹟 (Chasiempis sandwichensis); 考岛蚋鹟 (Chasiempis sclateri); 檀香山蚋鹟 (Chasiempis ibidis)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Clytorhynchus,,5,0,南鵙嘴鹟 (Clytorhynchus pachycephaloides); 伦纳鵙嘴鹟 (Clytorhynchus hamlini); 斐济鵙嘴鹟 (Clytorhynchus vitiensis)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Grallina,,2,0,山鹊鹩 (Grallina bruijnii); 鹊鹩 (Grallina cyanoleuca)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Hypothymis,,4,0,仙王鹟 (Hypothymis coelestis); 短冠王鹟 (Hypothymis helenae); 灰蓝王鹟 (Hypothymis puella)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Mayrornis,,3,0,杂色灰鹟 (Mayrornis versicolor); 斐济灰鹟 (Mayrornis lessoni); 蓝灰鹟 (Mayrornis schistaceus)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Metabolus,,1,0,特鲁克鹟 (Metabolus rugensis)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Monarcha,,7,0,雅岛王鹟 (Monarcha godeffroyi); 提岛王鹟 (Monarcha takatsukasae); 岛王鹟 (Monarcha cinerascens)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Myiagra,,21,0,帕劳阔嘴鹟 (Myiagra erythrops); 关岛阔嘴鹟 (Myiagra freycineti); 波岛阔嘴鹟 (Myiagra pluto)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Neolalage,,1,0,棕腹鹟 (Neolalage banksiana)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Pomarea,,9,0,黑腹果鹟 (Pomarea nigra); 莫岛果鹟 (Pomarea maupitiensis); 白腹果鹟 (Pomarea dimidiata)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Symposiachrus,,23,0,黑王鹟 (Symposiachrus axillaris); 棕王鹟 (Symposiachrus rubiensis); 梅氏王鹟 (Symposiachrus sacerdotum)
Passeriformes,雀形目,Monarchidae,"Monarch Flycatchers, Paradise Flycatchers, and Shrikebills",,Trochocercus,,2,0,蓝头凤头鹟 (Trochocercus nitens); 非洲凤头鹟 (Trochocercus cyanomelas)
Passeriformes,雀形目,Motacillidae,Wagtails and Pipits,,Hemimacronyx,,1,0,黄胸鹨 (Hemimacronyx chloris)
Passeriformes,雀形目,Motacillidae,Wagtails and Pipits,,Macronyx,,8,0,夏氏长爪鹡鸰 (Macronyx sharpei); 橙喉长爪鹡鸰 (Macronyx capensis); 黄喉长爪鹡鸰 (Macronyx croceus)
Passeriformes,雀形目,Motacillidae,Wagtails and Pipits,,Tmetothylacus,,1,0,金鹨 (Tmetothylacus tenellus)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Agricola,,2,0,噪鹟 (Agricola infuscatus); 苍色鹟 (Agricola pallidus)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Alethe,,2,0,白尾鸲鸫 (Alethe diademata); 红冠鸲鸫 (Alethe castanea)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Anthipes,,2,0,棕眉姬鹟 (Anthipes solitaris); 白喉姬鹟 (Anthipes monileger)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Artomyias,,2,0,乌氏鹟 (Artomyias ussheri); 非洲乌鹟 (Artomyias fuliginosa)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Bradornis,,3,0,暗蓝鹟 (Bradornis comitatus); 南非灰鹟 (Bradornis mariquensis); 非洲灰鹟 (Bradornis microrhynchus)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Campicoloides,,1,0,黄纹石䳭 (Campicoloides bifasciatus)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Cercotrichas,,5,0,黑薮鸲 (Cercotrichas podobe); 棕薮鸲 (Cercotrichas galactotes); 沙薮鸲 (Cercotrichas paena)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Chamaetylas,,4,0,褐胸鸲鸫 (Chamaetylas poliocephala); 红喉鸲鸫 (Chamaetylas poliophrys); 棕脸鸲鸫 (Chamaetylas choloensis)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Cichladusa,,3,0,晨鸫 (Cichladusa arquata); 红尾晨鸫 (Cichladusa ruficauda); 斑晨鸫 (Cichladusa guttata)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Cinclidium,,1,0,蓝额长脚地鸲 (Cinclidium frontale)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Copsychus,,17,0,印度鸲 (Copsychus fulicatus); 鹊鸲 (Copsychus saularis); 橙尾鹊鸲 (Copsychus pyrropygus)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Cossypha,,8,0,蓝肩歌䳭 (Cossypha cyanocampter); 卢氏歌䳭 (Cossypha semirufa); 白眉歌䳭 (Cossypha heuglini)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Cossyphicula,,2,0,白腹歌䳭 (Cossyphicula roberti); 高山歌䳭 (Cossyphicula isabellae)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Dessonornis,,4,0,阿氏歌䳭 (Dessonornis archeri); 绿胁歌䳭 (Dessonornis anomalus); 黄喉歌䳭 (Dessonornis caffer)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Emarginata,,3,0,镰翅岩䳭 (Emarginata sinuata); 灰岩䳭 (Emarginata schlegelii); 特拉岩䳭 (Emarginata tractrac)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Empidornis,,1,0,银鹟 (Empidornis semipartitus)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Erithacus,,1,0,欧亚鸲 (Erithacus rubecula)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Eumyias,,11,0,山氏仙鹟 (Eumyias sanfordi); 蓝额仙鹟 (Eumyias hoevelli); 蓝背仙鹟 (Eumyias hyacinthinus)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Fraseria,,8,0,白眉森鹟 (Fraseria cinerascens); 非洲森鹟 (Fraseria ocreata); 灰喉雀鹟 (Fraseria griseigularis)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Heinrichia,,1,0,大短翅鸫 (Heinrichia calligyna)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Heteroxenicus,,1,0,栗背短翅鸫 (Heteroxenicus stellatus)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Humblotia,,1,0,哈氏鹟 (Humblotia flavirostris)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Irania,,1,0,白喉鸲 (Irania gutturalis)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Leonardina,,1,0,菲律宾鹛鸫 (Leonardina woodi)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Leucoptilon,,1,0,白尾蓝仙鹟 (Leucoptilon concretum)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Luscinia,,4,0,欧歌鸲 (Luscinia luscinia); 新疆歌鸲 (Luscinia megarhynchos); 白腹短翅鸲 (Luscinia phaenicuroides)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Melaenornis,,7,0,黄眼黑鹟 (Melaenornis ardesiacus); 西非黑鹟 (Melaenornis annamarulae); 黑鹟 (Melaenornis edolioides)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Myiomela,,3,0,白尾蓝地鸲 (Myiomela leucura); 苏门答腊蓝地鸲 (Myiomela sumatrana); 蓝地鸲 (Myiomela diana)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Myopornis,,1,0,伯氏鹟 (Myopornis boehmi)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Myrmecocichla,,7,0,暗色蚁䳭 (Myrmecocichla nigra); 蚁䳭 (Myrmecocichla aethiops); 南方蚁䳭 (Myrmecocichla formicivora)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Namibornis,,1,0,拟鹟鸲 (Namibornis herero)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Oenanthe,,31,0,冠䳭 (Oenanthe monacha); 漠䳭 (Oenanthe deserti); 黑耳䳭 (Oenanthe hispanica)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Pinarochroa,,1,0,山岩䳭 (Pinarochroa sordida)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Pogonocichla,,1,0,白点鸲 (Pogonocichla stellata)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Sheppardia,,11,0,灰翅歌䳭 (Sheppardia polioptera); 短尾阿卡拉鸲 (Sheppardia poensis); 伯氏阿卡拉鸲 (Sheppardia bocagei)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Sholicola,,2,0,棕胁蓝地鸲 (Sholicola major); 白腹蓝地鸲 (Sholicola albiventris)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Sigelus,,1,0,白翅斑黑鹟 (Sigelus silens)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Stiphrornis,,3,0,绿背林鸲 (Stiphrornis pyrrholaemus); 橙胸林鸲 (Stiphrornis erythrothorax); 黄胸林鸲 (Stiphrornis mabirae)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Swynnertonia,,1,0,斯氏鸲 (Swynnertonia swynnertoni)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Thamnolaea,,1,0,桂红蚁䳭 (Thamnolaea cinnamomeiventris)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Tychaedon,,5,0,栗腹薮鸲 (Tychaedon coryphoeus); 林薮鸲 (Tychaedon leucosticta); 褐薮鸲 (Tychaedon signata)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Vauriella,,4,0,白眉林鹟 (Vauriella gularis); 吕宋林鹟 (Vauriella insignis); 黑林鹟 (Vauriella albigularis)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Xenocopsychus,,1,0,穴䳭 (Xenocopsychus ansorgei)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Aethopyga,,21,0,亮丽太阳鸟 (Aethopyga duyvenbodei); 火尾太阳鸟 (Aethopyga ignicauda); 黑胸太阳鸟 (Aethopyga saturata)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Anabathmis,,3,0,瑞氏花蜜鸟 (Anabathmis reichenbachii); 普林西比花蜜鸟 (Anabathmis hartlaubii); 黄胸花蜜鸟 (Anabathmis newtonii)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Anthobaphes,,1,0,橙胸花蜜鸟 (Anthobaphes violacea)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Anthreptes,,15,0,纯背食蜜鸟 (Anthreptes reichenowi); 安氏食蜜鸟 (Anthreptes anchietae); 纯色食蜜鸟 (Anthreptes simplex)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Arachnothera,,13,0,厚嘴捕蛛鸟 (Arachnothera crassirostris); 纹胸捕蛛鸟 (Arachnothera robusta); 橙胁捕蛛鸟 (Arachnothera flammifera)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Chalcomitra,,7,0,黄喉花蜜鸟 (Chalcomitra adelberti); 乌色花蜜鸟 (Chalcomitra fuliginosa); 绿喉花蜜鸟 (Chalcomitra rubescens)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Chalcoparia,,1,0,紫颊直嘴太阳鸟 (Chalcoparia singalensis)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Cinnyris,,62,0,绿腹花蜜鸟 (Cinnyris chloropygius); 姬花蜜鸟 (Cinnyris minullus); 西双领花蜜鸟 (Cinnyris gertrudis)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Cyanomitra,,7,0,绿头花蜜鸟 (Cyanomitra verticalis); 班氏花蜜鸟 (Cyanomitra bannermani); 蓝喉花蜜鸟 (Cyanomitra cyanolaema)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Deleornis,,2,0,灰头太阳鸟 (Deleornis axillaris); 红领太阳鸟 (Deleornis fraseri)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Drepanorhynchus,,1,0,金翅花蜜鸟 (Drepanorhynchus reichenowi)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Dreptes,,1,0,巨花蜜鸟 (Dreptes thomensis)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Hedydipna,,4,0,环颈直嘴太阳鸟 (Hedydipna collaris); 小直嘴太阳鸟 (Hedydipna platura); 尼罗直嘴太阳鸟 (Hedydipna metallica)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Kurochkinegramma,,1,0,蓝枕花蜜鸟 (Kurochkinegramma hypogrammicum)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Leptocoma,,6,0,紫腰花蜜鸟 (Leptocoma zeylonica); 小花蜜鸟 (Leptocoma minima); 蓝肩花蜜鸟 (Leptocoma brasiliana)
Passeriformes,雀形目,Nectariniidae,Spiderhunters and Sunbirds,太阳鸟科,Nectarinia,,6,0,包氏花蜜鸟 (Nectarinia bocagii); 紫胸花蜜鸟 (Nectarinia purpureiventris); 塔卡花蜜鸟 (Nectarinia tacazze)
Passeriformes,雀形目,Neosittidae,Sittellas,,Daphoenositta,,3,0,黑澳䴓 (Daphoenositta miranda); 巴布亚澳䴓 (Daphoenositta papuensis); 杂色澳䴓 (Daphoenositta chrysoptera)
Passeriformes,雀形目,Nesospingidae,Puerto Rican Tanager,,Nesospingus,,1,0,暗唐纳雀 (Nesospingus speculiferus)
Passeriformes,雀形目,Nicatoridae,Nicators,,Nicator,,3,0,黄翼斑斗鹎 (Nicator chloris); 东非斗鹎 (Nicator gularis); 黄喉斗鹎 (Nicator vireo)
Passeriformes,雀形目,Notiomystidae,Stitchbird,,Notiomystis,,1,0,须吸蜜鸟 (Notiomystis cincta)
Passeriformes,雀形目,Onychorhynchidae,Royal Flycatchers and Allies,,Myiobius,,4,0,茶胸黄腰霸鹟 (Myiobius villosus); 硫磺腰霸鹟 (Myiobius sulphureipygius); 须黄腰霸鹟 (Myiobius barbatus)
Passeriformes,雀形目,Onychorhynchidae,Royal Flycatchers and Allies,,Onychorhynchus,,2,0,东皇霸鹟 (Onychorhynchus swainsoni); 皇霸鹟 (Onychorhynchus coronatus)
Passeriformes,雀形目,Onychorhynchidae,Royal Flycatchers and Allies,,Terenotriccus,,1,0,红尾霸鹟 (Terenotriccus erythrurus)
Passeriformes,雀形目,Oreoicidae,Australasian Bellbirds,,Aleadryas,,1,0,棕颈钟鹟 (Aleadryas rufinucha)
Passeriformes,雀形目,Oreoicidae,Australasian Bellbirds,,Oreoica,,1,0,冠钟鹟 (Oreoica gutturalis)
Passeriformes,雀形目,Oreoicidae,Australasian Bellbirds,,Ornorectes,,1,0,冠林钟鹟 (Ornorectes cristatus)
Passeriformes,雀形目,Oriolidae,Old World Orioles,,Pitohui,,4,0,黑头林鵙鹟 (Pitohui dichrous); 褐头林鵙鹟 (Pitohui cerviniventris); 杂色林鵙鹟 (Pitohui kirhocephalus)
Passeriformes,雀形目,Oriolidae,Old World Orioles,,Sphecotheres,,3,0,白腹裸眼鹂 (Sphecotheres hypoleucus); 绿裸眼鹂 (Sphecotheres viridis); 澳裸眼鹂 (Sphecotheres vieilloti)
Passeriformes,雀形目,Oriolidae,Old World Orioles,,Turnagra,,2,0,北岛鸫鹟 (Turnagra tanagra); 纽西兰鸫鹟 (Turnagra capensis)
Passeriformes,雀形目,Orthonychidae,Logrunner and Chowchilla,,Orthonyx,,3,0,新几内亚刺尾鸫 (Orthonyx novaeguineae); 刺尾鸫 (Orthonyx temminckii); 黑头刺尾鸫 (Orthonyx spaldingii)
Passeriformes,雀形目,Oxyruncidae,Sharpbill,,Oxyruncus,,1,0,尖喙霸鹟 (Oxyruncus cristatus)
Passeriformes,雀形目,Pachycephalidae,Whistlers and Allies,,Colluricincla,,5,0,褐胸鵙鹟 (Colluricincla woodwardi); 纹胸鵙鹟 (Colluricincla boweri); 灰鵙鹟 (Colluricincla harmonica)
Passeriformes,雀形目,Pachycephalidae,Whistlers and Allies,,Coracornis,,2,0,桑岛啸鹟 (Coracornis sanghirensis); 栗背啸鹟 (Coracornis raveni)
Passeriformes,雀形目,Pachycephalidae,Whistlers and Allies,,Melanorectes,,1,0,黑林鵙鹟 (Melanorectes nigrescens)
Passeriformes,雀形目,Pachycephalidae,Whistlers and Allies,,Pachycephala,,51,0,绿啸鹟 (Pachycephala olivacea); 红眼先啸鹟 (Pachycephala rufogularis); 吉氏啸鹟 (Pachycephala inornata)
Passeriformes,雀形目,Pachycephalidae,Whistlers and Allies,,Pseudorectes,,2,0,斑胸林鵙鹟 (Pseudorectes incertus); 锈色林鵙鹟 (Pseudorectes ferrugineus)
Passeriformes,雀形目,Panuridae,Reedling,,Panurus,,1,0,文须雀 (Panurus biarmicus)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Astrapia,,5,0,华丽长尾风鸟 (Astrapia splendidissima); 黑蓝长尾风鸟 (Astrapia nigra); 绿腹长尾风鸟 (Astrapia rothschildi)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Cicinnurus,,1,0,王极乐鸟 (Cicinnurus regius)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Diphyllodes,,2,0,威氏极乐鸟 (Diphyllodes respublica); 丽色极乐鸟 (Diphyllodes magnificus)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Drepanornis,,2,0,淡嘴镰嘴风鸟 (Drepanornis bruijnii); 黑嘴镰嘴风鸟 (Drepanornis albertisi)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Epimachus,,2,0,黑镰嘴风鸟 (Epimachus fastosus); 褐镰嘴风鸟 (Epimachus meyeri)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Lophorina,,3,0,华美极乐鸟 (Lophorina superba); 中华美极乐鸟 (Lophorina latipennis); 小华美极乐鸟 (Lophorina minor)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Lycocorax,,2,0,奥比岛极乐鸟 (Lycocorax obiensis); 褐翅极乐鸟 (Lycocorax pyrrhopterus)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Manucodia,,4,0,卷冠辉极乐鸟 (Manucodia comrii); 绿胸辉极乐鸟 (Manucodia chalybatus); 绿辉极乐鸟 (Manucodia jobiensis)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Paradigalla,,2,0,长尾肉垂风鸟 (Paradigalla carunculata); 短尾肉垂风鸟 (Paradigalla brevicauda)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Paradisaea,,6,0,线翎极乐鸟 (Paradisaea guilielmi); 红极乐鸟 (Paradisaea rubra); 戈氏极乐鸟 (Paradisaea decora)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Paradisornis,,1,0,蓝极乐鸟 (Paradisornis rudolphi)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Parotia,,6,0,白胁六线风鸟 (Parotia carolae); 青铜六线风鸟 (Parotia berlepschi); 阿法六线风鸟 (Parotia sefilata)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Phonygammus,,1,0,号声极乐鸟 (Phonygammus keraudrenii)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Pteridophora,,1,0,萨克森极乐鸟 (Pteridophora alberti)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Ptiloris,,4,0,大掩鼻风鸟 (Ptiloris paradiseus); 小掩鼻风鸟 (Ptiloris victoriae); 丽色掩鼻风鸟 (Ptiloris magnificus)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Seleucidis,,1,0,十二线极乐鸟 (Seleucidis melanoleucus)
Passeriformes,雀形目,Paradisaeidae,Birds-of-paradise,,Semioptera,,1,0,幡羽极乐鸟 (Semioptera wallacii)
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,Chamaea,,1,0,鹪雀莺 (Chamaea fasciata)
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,Chrysomma,,2,0,金眼鹛雀 (Chrysomma sinense); 杰氏鹛雀 (Chrysomma altirostre)
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,Lioparus,,1,0,金胸雀鹛 (Lioparus chrysotis)
Passeriformes,雀形目,Paramythiidae,Tit Berrypecker and Crested Berrypeckers,,Oreocharis,,1,0,拟雀啄果鸟 (Oreocharis arfaki)
Passeriformes,雀形目,Paramythiidae,Tit Berrypecker and Crested Berrypeckers,,Paramythia,,2,0,冠啄果鸟 (Paramythia montium); 西冠啄果鸟 (Paramythia olivacea)
Passeriformes,雀形目,Pardalotidae,Pardalotes,,Pardalotus,,4,0,斑翅食蜜鸟 (Pardalotus punctatus); 多斑食蜜鸟 (Pardalotus quadragintus); 红眉食蜜鸟 (Pardalotus rubricatus)
Passeriformes,雀形目,Paridae,"Tits, Chickadees, and Titmice",,Baeolophus,,5,0,白眉冠山雀 (Baeolophus wollweberi); 纯色冠山雀 (Baeolophus inornatus); 林山雀 (Baeolophus ridgwayi)
Passeriformes,雀形目,Paridae,"Tits, Chickadees, and Titmice",,Cephalopyrus,,1,0,火冠雀 (Cephalopyrus flammiceps)
Passeriformes,雀形目,Paridae,"Tits, Chickadees, and Titmice",,Cyanistes,,3,0,非洲青山雀 (Cyanistes teneriffae); 灰蓝山雀 (Cyanistes cyanus); 青山雀 (Cyanistes caeruleus)
Passeriformes,雀形目,Paridae,"Tits, Chickadees, and Titmice",,Lophophanes,,2,0,褐冠山雀 (Lophophanes dichrous); 凤头山雀 (Lophophanes cristatus)
