status,Genus,Suggested Chinese genus name,Shared suffix,CBR species count,Example species,Method
not_used,Ardea,,鹭,6,大白鹭 (Ardea alba); 中白鹭 (Ardea intermedia); 牛背鹭 (Ardea coromanda); 苍鹭 (Ardea cinerea); 草鹭 (Ardea purpurea); 白腹鹭 (Ardea insignis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Ardenna,,鹱,4,楔尾鹱 (Ardenna pacifica); 灰鹱 (Ardenna grisea); 短尾鹱 (Ardenna tenuirostris); 淡足鹱 (Ardenna carneipes),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Ardeola,池鹭属,池鹭,3,印度池鹭 (Ardeola grayii); 池鹭 (Ardeola bacchus); 爪哇池鹭 (Ardeola speciosa),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Arenaria,,翻石鹬,1,翻石鹬 (Arenaria interpres),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Artamus,,灰燕鵙,1,灰燕鵙 (Artamus fuscus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Arundinax,,厚嘴苇莺,1,厚嘴苇莺 (Arundinax aedon),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Asarcornis,,白翅栖鸭,1,白翅栖鸭 (Asarcornis scutulata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Asio,耳鸮属,耳鸮,2,长耳鸮 (Asio otus); 短耳鸮 (Asio flammeus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Astur,,苍鹰,1,苍鹰 (Astur gentilis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Athene,腹小鸮属,腹小鸮,2,横斑腹小鸮 (Athene brama); 纵纹腹小鸮 (Athene noctua),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Aviceda,冠鹃隼属,冠鹃隼,2,褐冠鹃隼 (Aviceda jerdoni); 黑冠鹃隼 (Aviceda leuphotes),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Aythya,潜鸭属,潜鸭,8,帆背潜鸭 (Aythya valisineria); 红头潜鸭 (Aythya ferina); 青头潜鸭 (Aythya baeri); 白眼潜鸭 (Aythya nyroca); 环颈潜鸭 (Aythya collaris); 凤头潜鸭 (Aythya fuligula); 斑背潜鸭 (Aythya marila); 小潜鸭 (Aythya affinis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Bambusicola,竹鸡属,竹鸡,3,棕胸竹鸡 (Bambusicola fytchii); 灰胸竹鸡 (Bambusicola thoracicus); 台湾竹鸡 (Bambusicola sonorivox),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Batrachostomus,,黑顶蟆口鸱,1,黑顶蟆口鸱 (Batrachostomus hodgsoni),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Blythipicus,,黄嘴栗啄木鸟,1,黄嘴栗啄木鸟 (Blythipicus pyrrhotis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Bombycilla,太平鸟属,太平鸟,2,太平鸟 (Bombycilla garrulus); 小太平鸟 (Bombycilla japonica),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Botaurus,,鳽,6,大麻鳽 (Botaurus stellaris); 黑鳽 (Botaurus flavicollis); 栗苇鳽 (Botaurus cinnamomeus); 紫背苇鳽 (Botaurus eurhythmus); 小苇鳽 (Botaurus minutus); 黄苇鳽 (Botaurus sinensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Brachypteryx,短翅鸫属,短翅鸫,5,喜山短翅鸫 (Brachypteryx cruralis); 中华短翅鸫 (Brachypteryx sinensis); 台湾短翅鸫 (Brachypteryx goodfellowi); 锈腹短翅鸫 (Brachypteryx hyperythra); 白喉短翅鸫 (Brachypteryx leucophris),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Brachyramphus,,长嘴斑海雀,1,长嘴斑海雀 (Brachyramphus perdix),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Branta,黑雁属,黑雁,5,黑雁 (Branta bernicla); 红胸黑雁 (Branta ruficollis); 加拿大黑雁 (Branta canadensis); 白颊黑雁 (Branta leucopsis); 小美洲黑雁 (Branta hutchinsii),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Bubo,,鸮,2,雪鸮 (Bubo scandiacus); 雕鸮 (Bubo bubo),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Bucanetes,,蒙古沙雀,1,蒙古沙雀 (Bucanetes mongolicus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Bucephala,,鹊鸭,1,鹊鸭 (Bucephala clangula),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Buceros,,双角犀鸟,1,双角犀鸟 (Buceros bicornis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Bulweria,,褐燕鹱,1,褐燕鹱 (Bulweria bulwerii),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Burhinus,,石鸻,1,石鸻 (Burhinus oedicnemus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Butastur,鵟鹰属,鵟鹰,3,白眼鵟鹰 (Butastur teesa); 棕翅鵟鹰 (Butastur liventer); 灰脸鵟鹰 (Butastur indicus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Buteo,,鵟,6,毛脚鵟 (Buteo lagopus); 大鵟 (Buteo hemilasius); 普通鵟 (Buteo japonicus); 喜山鵟 (Buteo refectus); 棕尾鵟 (Buteo rufinus); 欧亚鵟 (Buteo buteo),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Butorides,,绿鹭,1,绿鹭 (Butorides striata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Cacomantis,杜鹃属,杜鹃,2,栗斑杜鹃 (Cacomantis sonneratii); 八声杜鹃 (Cacomantis merulinus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
